Category Slug,Category Rank,Name,Weapon Type,Archetype,Overall %,Δ 2 Weeks
"auto-rifles","60","Positive Outlook","","Precision Frame","0.45%","∞%"
"auto-rifles","61","Prosecutor","","Precision Frame","0.45%","∞%"
"auto-rifles","62","Snipehunt Mk. 47","","Lightweight Frame","0.43%","∞%"
"auto-rifles","63","Adamantite (Adept)","","Support Frame","0.43%","∞%"
"auto-rifles","64","Positive Outlook","","Precision Frame","0.42%","∞%"
"auto-rifles","65","Seventh Seraph Carbine","","Precision Frame","0.42%","∞%"
"auto-rifles","66","Firefright","","Precision Frame","0.41%","∞%"
"auto-rifles","67","The Summoner","","Adaptive Frame","0.40%","∞%"
"auto-rifles","68","Lodbrok-C","","High-Impact Frame","0.39%","∞%"
"auto-rifles","69","Coronach-22","","Adaptive Frame","0.38%","∞%"
"auto-rifles","70","Breakneck","","Precision Frame","0.38%","∞%"
"auto-rifles","71","Horror Story","","Precision Frame","0.37%","∞%"
"auto-rifles","72","Origin Story","","Precision Frame","0.34%","∞%"
"auto-rifles","73","False Promises","","High-Impact Frame","0.34%","∞%"
"auto-rifles","74","Adamantite","","Support Frame","0.32%","∞%"
"auto-rifles","75","Shadow Price (Adept)","","Precision Frame","0.32%","∞%"
"auto-rifles","76","Tigerspite","","Precision Frame","0.31%","∞%"
"auto-rifles","77","False Promises","","High-Impact Frame","0.31%","∞%"
"auto-rifles","78","Sorrow's Verse","","Adaptive Frame","0.31%","∞%"
"auto-rifles","79","Lethal Abundance","","High-Impact Frame","0.29%","∞%"
"auto-rifles","80","Chrysura Melo","","High-Impact Frame","0.29%","∞%"
"auto-rifles","81","Sorrow's Verse","","Adaptive Frame","0.29%","∞%"
"auto-rifles","82","Prosecutor (Adept)","","Precision Frame","0.27%","∞%"
"auto-rifles","83","Lethal Abundance","","High-Impact Frame","0.27%","∞%"
"auto-rifles","84","The Last Breath","","Adaptive Frame","0.27%","∞%"
"auto-rifles","85","Seventh Seraph Carbine","","Precision Frame","0.25%","∞%"
"auto-rifles","86","Horror Story","","Precision Frame","0.25%","∞%"
"auto-rifles","87","Herod-C","","High-Impact Frame","0.25%","∞%"
"auto-rifles","88","Dark Decider","","Rapid-Fire Frame","0.24%","∞%"
"auto-rifles","89","Duty Bound","","Adaptive Frame","0.23%","∞%"
"auto-rifles","90","The Number","","Precision Frame","0.22%","∞%"
"auto-rifles","91","Reckless Oracle","","Rapid-Fire Frame","0.22%","∞%"
"auto-rifles","92","Scathelocke","","Adaptive Frame","0.21%","∞%"
"auto-rifles","93","Abyss Defiant (Adept)","","High-Impact Frame","0.21%","∞%"
"auto-rifles","94","Shadow Price (Adept)","","Precision Frame","0.21%","∞%"
"auto-rifles","95","BrayTech Werewolf","","Precision Frame","0.20%","∞%"
"auto-rifles","96","Duty Bound (Adept)","","Adaptive Frame","0.20%","∞%"
"auto-rifles","97","Cusp Sempiternal","","Support Frame","0.19%","∞%"
"auto-rifles","98","Prosecutor","","Precision Frame","0.19%","∞%"
"auto-rifles","99","Reckless Oracle","","Rapid-Fire Frame","0.18%","∞%"
"auto-rifles","100","The Forward Path","","Adaptive Frame","0.17%","∞%"
"combat-bows","1","Convened Recurve","","High-Impact Longbow","11.51%","∞%"
"combat-bows","2","A Good Shout","","High-Impact Frame","10.29%","∞%"
"combat-bows","3","Submersion","","High-Impact Frame","7.27%","∞%"
"combat-bows","4","Point of the Stag","","Precision Frame","4.33%","∞%"
"combat-bows","5","Fortunate Star","","Lightweight Frame","3.80%","∞%"
"combat-bows","6","King Orfeo","","Precision Frame","3.66%","∞%"
"combat-bows","7","Pre Astyanax IV","","Precision Frame","3.20%","∞%"
"combat-bows","8","The Spiteful Fang","","Lightweight Frame","3.17%","∞%"
"combat-bows","9","Mercury-A","","High-Impact Longbow","3.06%","∞%"
"combat-bows","10","Hushed Whisper","","Precision Frame","2.87%","∞%"
"combat-bows","11","Opaque Hourglass","","High-Impact Frame","2.70%","∞%"
"combat-bows","12","Convened Recurve","","High-Impact Longbow","2.31%","∞%"
"combat-bows","13","Hush","","Precision Frame","2.24%","∞%"
"combat-bows","14","Wish-Keeper","","Snareweaver","2.04%","∞%"
"combat-bows","15","Fortunate Star","","Lightweight Frame","1.92%","∞%"
"combat-bows","16","Tyranny of Heaven","","Lightweight Frame","1.60%","∞%"
"combat-bows","17","Arsenic Bite-4b","","Lightweight Frame","1.42%","∞%"
"combat-bows","18","Under Your Skin","","Precision Frame","1.36%","∞%"
"combat-bows","19","Strident Whistle","","Precision Frame","1.34%","∞%"
"combat-bows","20","Vengeful Whisper","","Precision Frame","1.28%","∞%"
"combat-bows","21","Biting Winds","","Precision Frame","1.26%","∞%"
"combat-bows","22","Non-Denouement","","Precision Frame","1.26%","∞%"
"combat-bows","23","Submersion","","High-Impact Frame","1.22%","∞%"
"combat-bows","24","Neoptolemus II","","Precision Frame","1.16%","∞%"
"combat-bows","25","Wolftone Draw","","Precision Frame","1.13%","∞%"
"combat-bows","26","Fortunate Star","","Lightweight Frame","1.13%","∞%"
"combat-bows","27","Raconteur","","Precision Frame","1.09%","∞%"
"combat-bows","28","Anamnesis","","Lightweight Frame","1.07%","∞%"
"combat-bows","29","Vengeful Whisper","","Precision Frame","1.07%","∞%"
"combat-bows","30","Hushed Whisper","","Precision Frame","1.05%","∞%"
"combat-bows","31","Accrued Redemption","","Precision Frame","0.98%","∞%"
"combat-bows","32","Lunulata-4b","","Lightweight Frame","0.98%","∞%"
"combat-bows","33","A Good Shout","","High-Impact Frame","0.89%","∞%"
"combat-bows","34","Whispering Slab","","Lightweight Frame","0.81%","∞%"
"combat-bows","35","Fel Taradiddle","","Lightweight Frame","0.79%","∞%"
"combat-bows","36","Lethophobia","","Lightweight Frame","0.79%","∞%"
"combat-bows","37","King Orfeo","","Precision Frame","0.79%","∞%"
"combat-bows","38","Imperial Needle","","Lightweight Frame","0.78%","∞%"
"combat-bows","39","Tripwire Canary","","Lightweight Frame","0.78%","∞%"
"combat-bows","40","The Spiteful Fang","","Lightweight Frame","0.74%","∞%"
"combat-bows","41","Pre Astyanax IV (Adept)","","Precision Frame","0.68%","∞%"
"combat-bows","42","Biting Winds","","Precision Frame","0.68%","∞%"
"combat-bows","43","Point of the Stag","","Precision Frame","0.66%","∞%"
"combat-bows","44","Hush","","Precision Frame","0.63%","∞%"
"combat-bows","45","Accrued Redemption","","Precision Frame","0.60%","∞%"
"combat-bows","46","Pre Astyanax IV (Adept)","","Precision Frame","0.58%","∞%"
"combat-bows","47","Anamnesis (Adept)","","Lightweight Frame","0.54%","∞%"
"combat-bows","48","Pre Astyanax IV","","Precision Frame","0.47%","∞%"
"combat-bows","49","Point of the Stag","","Precision Frame","0.43%","∞%"
"combat-bows","50","Whispering Slab","","Lightweight Frame","0.39%","∞%"
"combat-bows","51","Tyranny of Heaven","","Lightweight Frame","0.39%","∞%"
"combat-bows","52","Whistler's Whim","","Lightweight Frame","0.35%","∞%"
"combat-bows","53","Anamnesis","","Lightweight Frame","0.30%","∞%"
"combat-bows","54","Whistler's Whim (Adept)","","Lightweight Frame","0.28%","∞%"
"combat-bows","55","Subtle Calamity","","Precision Frame","0.28%","∞%"
"combat-bows","56","Non-Denouement (Adept)","","Precision Frame","0.25%","∞%"
"combat-bows","57","Whistler's Whim (Adept)","","Lightweight Frame","0.24%","∞%"
"combat-bows","58","The Spiteful Fang","","Lightweight Frame","0.22%","∞%"
"combat-bows","59","Whistler's Whim","","Lightweight Frame","0.21%","∞%"
"combat-bows","60","Anamnesis (Adept)","","Lightweight Frame","0.20%","∞%"
"combat-bows","61","King Orfeo","","Precision Frame","0.13%","∞%"
"combat-bows","62","King Orfeo","","Precision Frame","0.13%","∞%"
"combat-bows","63","King Orfeo","","Precision Frame","0.11%","∞%"
"combat-bows","64","Pre Astyanax IV","","Precision Frame","0.11%","∞%"
"fusion-rifles","1","Main Ingredient","","Precision Frame","7.86%","∞%"
"fusion-rifles","2","Scatter Signal","","Rapid-Fire Frame","4.39%","∞%"
"fusion-rifles","3","Null Composure","","Rapid-Fire Frame","4.34%","∞%"
"fusion-rifles","4","Lionfish-4fr","","Rapid-Fire Frame","4.16%","∞%"
"fusion-rifles","5","Monody-44","","High-Impact Frame","3.72%","∞%"
"fusion-rifles","6","The Wizened Rebuke","","High-Impact Frame","3.47%","∞%"
"fusion-rifles","7","The Beacon","","Rapid-Fire Frame","3.26%","∞%"
"fusion-rifles","8","TAHOMA 01","","Aggressive Frame","3.15%","∞%"
"fusion-rifles","9","Riptide","","Rapid-Fire Frame","3.14%","∞%"
"fusion-rifles","10","Pressurized Precision","","Adaptive Frame","2.69%","∞%"
"fusion-rifles","11","Nox Sidereal IV","","Aggressive Frame","2.38%","∞%"
"fusion-rifles","12","Nox Perennial V","","High-Impact Frame","2.27%","∞%"
"fusion-rifles","13","Tempered Dynamo","","Aggressive Frame","2.25%","∞%"
"fusion-rifles","14","Riptide","","Rapid-Fire Frame","2.14%","∞%"
"fusion-rifles","15","Riptide","","Rapid-Fire Frame","1.99%","∞%"
"fusion-rifles","16","Cartesian Coordinate","","Rapid-Fire Frame","1.95%","∞%"
"fusion-rifles","17","Deliverance","","Precision Frame","1.95%","∞%"
"fusion-rifles","18","Burden of Guilt","","Adaptive Frame","1.93%","∞%"
"fusion-rifles","19","Accelerando-42","","Precision Frame","1.71%","∞%"
"fusion-rifles","20","Cartesian Coordinate","","Rapid-Fire Frame","1.58%","∞%"
"fusion-rifles","21","Finite Maybe","","Aggressive Frame","1.55%","∞%"
"fusion-rifles","22","Iterative Loop","","Rapid-Fire Frame","1.35%","∞%"
"fusion-rifles","23","Resounding","","Aggressive Frame","1.31%","∞%"
"fusion-rifles","24","Techeun Force","","Adaptive Frame","1.27%","∞%"
"fusion-rifles","25","The Eremite","","High-Impact Frame","1.18%","∞%"
"fusion-rifles","26","Main Ingredient","","Precision Frame","1.14%","∞%"
"fusion-rifles","27","Nox Perennial V","","High-Impact Frame","1.11%","∞%"
"fusion-rifles","28","The Beacon","","Rapid-Fire Frame","1.09%","∞%"
"fusion-rifles","29","VS Gravitic Arrest","","Adaptive Frame","1.06%","∞%"
"fusion-rifles","30","Axial Lacuna","","Precision Frame","1.03%","∞%"
"fusion-rifles","31","PLUG ONE.1 (Adept)","","Precision Frame","1.02%","∞%"
"fusion-rifles","32","Exile's Curse","","High-Impact Frame","0.99%","∞%"
"fusion-rifles","33","Snorri FR5","","Precision Frame","0.95%","∞%"
"fusion-rifles","34","Zealot's Reward","","Rapid-Fire Frame","0.94%","∞%"
"fusion-rifles","35","Loaded Question (Adept)","","High-Impact Frame","0.93%","∞%"
"fusion-rifles","36","Nox Sidereal IV","","Aggressive Frame","0.93%","∞%"
"fusion-rifles","37","Royal Executioner","","Adaptive Frame","0.90%","∞%"
"fusion-rifles","38","Midha's Reckoning","","High-Impact Frame","0.88%","∞%"
"fusion-rifles","39","Dream Breaker","","Adaptive Frame","0.87%","∞%"
"fusion-rifles","40","VS Gravitic Arrest","","Adaptive Frame","0.85%","∞%"
"fusion-rifles","41","Null Composure","","Rapid-Fire Frame","0.84%","∞%"
"fusion-rifles","42","Glacioclasm","","High-Impact Frame","0.81%","∞%"
"fusion-rifles","43","PLUG ONE.1 (Adept)","","Precision Frame","0.75%","∞%"
"fusion-rifles","44","Main Ingredient","","Precision Frame","0.74%","∞%"
"fusion-rifles","45","Likely Suspect","","Rapid-Fire Frame","0.73%","∞%"
"fusion-rifles","46","Aurvandil FR6","","High-Impact Frame","0.69%","∞%"
"fusion-rifles","47","Cruoris FR4","","Aggressive Frame","0.69%","∞%"
"fusion-rifles","48","Coriolis Force","","Aggressive Frame","0.68%","∞%"
"fusion-rifles","49","Iota Draconis","","High-Impact Frame","0.62%","∞%"
"fusion-rifles","50","The Epicurean","","Precision Frame","0.58%","∞%"
"fusion-rifles","51","Accelerando-42","","Precision Frame","0.56%","∞%"
"fusion-rifles","52","Afterlight","","Adaptive Frame","0.54%","∞%"
"fusion-rifles","53","Glacioclasm","","High-Impact Frame","0.52%","∞%"
"fusion-rifles","54","Glacioclasm","","High-Impact Frame","0.51%","∞%"
"fusion-rifles","55","Pressurized Precision","","Adaptive Frame","0.51%","∞%"
"fusion-rifles","56","Deliverance (Adept)","","Precision Frame","0.50%","∞%"
"fusion-rifles","57","Glacioclasm","","High-Impact Frame","0.47%","∞%"
"fusion-rifles","58","Tempered Dynamo","","Aggressive Frame","0.46%","∞%"
"fusion-rifles","59","Burden of Guilt","","Adaptive Frame","0.46%","∞%"
"fusion-rifles","60","Timelines' Vertex","","Adaptive Frame","0.46%","∞%"
"fusion-rifles","61","Zealot's Reward","","Rapid-Fire Frame","0.43%","∞%"
"fusion-rifles","62","Afterlight (Adept)","","Adaptive Frame","0.43%","∞%"
"fusion-rifles","63","Hollow Words","","Precision Frame","0.43%","∞%"
"fusion-rifles","64","PLUG ONE.1","","Precision Frame","0.41%","∞%"
"fusion-rifles","65","Trinary System","","Adaptive Frame","0.40%","∞%"
"fusion-rifles","66","Hollow Words","","Precision Frame","0.40%","∞%"
"fusion-rifles","67","PLUG ONE.1","","Precision Frame","0.39%","∞%"
"fusion-rifles","68","The Wizened Rebuke","","High-Impact Frame","0.38%","∞%"
"fusion-rifles","69","Midha's Reckoning (Harrowed)","","High-Impact Frame","0.30%","∞%"
"fusion-rifles","70","Burden of Guilt (Adept)","","Adaptive Frame","0.27%","∞%"
"fusion-rifles","71","Techeun Force","","Adaptive Frame","0.25%","∞%"
"fusion-rifles","72","The Wizened Rebuke","","High-Impact Frame","0.24%","∞%"
"fusion-rifles","73","Loaded Question","","High-Impact Frame","0.24%","∞%"
"fusion-rifles","74","Exile's Curse","","High-Impact Frame","0.21%","∞%"
"fusion-rifles","75","Erentil FR4","","High-Impact Frame","0.21%","∞%"
"fusion-rifles","76","Afterlight","","Adaptive Frame","0.19%","∞%"
"fusion-rifles","77","Coriolis Force","","Aggressive Frame","0.19%","∞%"
"fusion-rifles","78","Afterlight (Adept)","","Adaptive Frame","0.14%","∞%"
"fusion-rifles","79","The Wizened Rebuke","","High-Impact Frame","0.12%","∞%"
"fusion-rifles","80","Exile's Curse (Adept)","","High-Impact Frame","0.08%","∞%"
"fusion-rifles","81","Dream Breaker","","Adaptive Frame","0.08%","∞%"
"fusion-rifles","82","Tempered Dynamo","","Precision Frame","0.08%","∞%"
"fusion-rifles","83","Aurvandil FR6","","High-Impact Frame","0.07%","∞%"
"fusion-rifles","84","Elatha FR4","","High-Impact Frame","0.07%","∞%"
"fusion-rifles","85","PLUG ONE.1","","Precision Frame","0.06%","∞%"
"fusion-rifles","86","Gallant Charge","","High-Impact Frame","0.06%","∞%"
"fusion-rifles","87","The Epicurean","","Precision Frame","0.04%","∞%"
"fusion-rifles","88","Loaded Question","","High-Impact Frame","0.04%","∞%"
"fusion-rifles","89","Proelium FR3","","Rapid-Fire Frame","0.03%","∞%"
"glaives","1","The Heron","","Aggressive Glaive","9.55%","∞%"
"glaives","2","The Enigma","","Adaptive Glaive","8.88%","∞%"
"glaives","3","Refusal of the Call","","Adaptive Glaive","8.31%","∞%"
"glaives","4","Ecliptic Distaff","","Adaptive Glaive","7.98%","∞%"
"glaives","5","Vexcalibur","","M1R Distribution Matrix","5.11%","∞%"
"glaives","6","Judgment of Kelgorath","","Aggressive Glaive","5.02%","∞%"
"glaives","7","Nezarec's Whisper","","Adaptive Glaive","4.48%","∞%"
"glaives","8","Rake Angle (Adept)","","Aggressive Glaive","3.87%","∞%"
"glaives","9","Lubrae's Ruin","","Adaptive Glaive","3.45%","∞%"
"glaives","10","Refusal of the Call","","Adaptive Glaive","3.36%","∞%"
"glaives","11","Greasy Luck","","Rapid-Fire Glaive","3.07%","∞%"
"glaives","12","Greasy Luck","","Rapid-Fire Glaive","2.88%","∞%"
"glaives","13","The Heron","","Aggressive Glaive","2.49%","∞%"
"glaives","14","Rake Angle","","Aggressive Glaive","2.35%","∞%"
"glaives","15","Forthcoming Deviance","","Rapid-Fire Glaive","2.18%","∞%"
"glaives","16","Albedo Wing","","Aggressive Glaive","2.08%","∞%"
"glaives","17","Backfang","","Rapid-Fire Glaive","1.97%","∞%"
"glaives","18","Greasy Luck (Adept)","","Rapid-Fire Glaive","1.85%","∞%"
"glaives","19","Greasy Luck","","Rapid-Fire Glaive","1.84%","∞%"
"glaives","20","Edge of Action","","Edge of Action","1.81%","∞%"
"glaives","21","Greasy Luck","","Rapid-Fire Glaive","1.69%","∞%"
"glaives","22","Edge of Concurrence","","Edge of Concurrence","1.67%","∞%"
"glaives","23","Unexpected Resurgence","","Adaptive Glaive","1.63%","∞%"
"glaives","24","Lubrae's Ruin (Adept)","","Adaptive Glaive","1.48%","∞%"
"glaives","25","Albedo Wing","","Aggressive Glaive","1.43%","∞%"
"glaives","26","Edge of Intent","","Edge of Intent","1.30%","∞%"
"glaives","27","Albedo Wing","","Aggressive Glaive","1.26%","∞%"
"glaives","28","Unexpected Resurgence (Adept)","","Adaptive Glaive","1.05%","∞%"
"glaives","29","Refusal of the Call","","Adaptive Glaive","0.99%","∞%"
"glaives","30","Rake Angle","","Aggressive Glaive","0.98%","∞%"
"glaives","31","Refusal of the Call (Adept)","","Adaptive Glaive","0.75%","∞%"
"glaives","32","Forthcoming Deviance (Adept)","","Rapid-Fire Glaive","0.63%","∞%"
"glaives","33","Refusal of the Call (Adept)","","Adaptive Glaive","0.63%","∞%"
"glaives","34","The Heron","","Aggressive Glaive","0.53%","∞%"
"glaives","35","The Heron","","Aggressive Glaive","0.49%","∞%"
"glaives","36","Greasy Luck (Adept)","","Rapid-Fire Glaive","0.43%","∞%"
"glaives","37","The Heron","","Aggressive Glaive","0.38%","∞%"
"glaives","38","Backfang","","Rapid-Fire Glaive","0.16%","∞%"
"grenade-launchers","1","Festival Flight","","Area Denial Frame","5.94%","∞%"
"grenade-launchers","2","Motif-41","","Area Denial Frame","4.34%","∞%"
"grenade-launchers","3","Ouster Engine","","Area Denial Frame","4.20%","∞%"
"grenade-launchers","4","Salvager's Salvo","","Lightweight Frame","3.20%","∞%"
"grenade-launchers","5","Gizmo Weft","","Micro-Missile Frame","2.95%","∞%"
"grenade-launchers","6","Outrageous Fortune","","Rapid-Fire Frame","2.94%","∞%"
"grenade-launchers","7","Lost Signal","","Area Denial Frame","2.54%","∞%"
"grenade-launchers","8","Theodolite","","Micro-Missile Frame","2.44%","∞%"
"grenade-launchers","9","Cataphract GL3","","Adaptive Frame","2.33%","∞%"
"grenade-launchers","10","Permafrost","","Wave Frame","2.26%","∞%"
"grenade-launchers","11","Festival Flight","","Area Denial Frame","2.23%","∞%"
"grenade-launchers","12","Psychopomp","","Area Denial Frame","2.13%","∞%"
"grenade-launchers","13","Edge Transit","","Adaptive Frame","1.97%","∞%"
"grenade-launchers","14","Liturgy","","Double Fire","1.72%","∞%"
"grenade-launchers","15","The Mountaintop","","Micro-Missile Frame","1.67%","∞%"
"grenade-launchers","16","Dimensional Hypotrochoid","","Compressed Wave Frame","1.49%","∞%"
"grenade-launchers","17","VS Velocity Baton","","Area Denial Frame","1.40%","∞%"
"grenade-launchers","18","Doomsday","","Adaptive Frame","1.39%","∞%"
"grenade-launchers","19","Romantic Death","","Wave Frame","1.36%","∞%"
"grenade-launchers","20","VS Chill Inhibitor","","Rapid-Fire Frame","1.29%","∞%"
"grenade-launchers","21","Forbearance","","Wave Frame","1.27%","∞%"
"grenade-launchers","22","Ouster Engine","","Area Denial Frame","1.26%","∞%"
"grenade-launchers","23","VS Velocity Baton","","Area Denial Frame","1.24%","∞%"
"grenade-launchers","24","Canis Major","","Rapid-Fire Frame","1.20%","∞%"
"grenade-launchers","25","Psychopomp","","Area Denial Frame","1.17%","∞%"
"grenade-launchers","26","The Mountaintop","","Micro-Missile Frame","1.11%","∞%"
"grenade-launchers","27","Hullabaloo","","Compressed Wave Frame","1.10%","∞%"
"grenade-launchers","28","Cry Mutiny","","Adaptive Frame","1.06%","∞%"
"grenade-launchers","29","Martyr's Retribution","","Wave Frame","1.02%","∞%"
"grenade-launchers","30","Wilderflight","","Double Fire","1.01%","∞%"
"grenade-launchers","31","Tusk of the Boar","","Wave Frame","1.01%","∞%"
"grenade-launchers","32","Typhon GL5","","Adaptive Frame","1.00%","∞%"
"grenade-launchers","33","Pardon Our Dust","","Lightweight Frame","0.98%","∞%"
"grenade-launchers","34","Dead Messenger","","Trinary Vision","0.98%","∞%"
"grenade-launchers","35","Edge Transit","","Adaptive Frame","0.96%","∞%"
"grenade-launchers","36","Permafrost","","Wave Frame","0.94%","∞%"
"grenade-launchers","37","Tarnation","","Rapid-Fire Frame","0.94%","∞%"
"grenade-launchers","38","Bitter/Sweet","","Adaptive Frame","0.93%","∞%"
"grenade-launchers","39","Regnant","","Adaptive Frame","0.92%","∞%"
"grenade-launchers","40","Edge Transit","","Adaptive Frame","0.86%","∞%"
"grenade-launchers","41","Koraxis's Distress","","Rapid-Fire Frame","0.79%","∞%"
"grenade-launchers","42","VS Chill Inhibitor","","Rapid-Fire Frame","0.79%","∞%"
"grenade-launchers","43","Harsh Language","","Wave Frame","0.76%","∞%"
"grenade-launchers","44","Ignition Code","","Lightweight Frame","0.75%","∞%"
"grenade-launchers","45","The Mountaintop","","Micro-Missile Frame","0.74%","∞%"
"grenade-launchers","46","Wild Style (Adept)","","Double Fire","0.72%","∞%"
"grenade-launchers","47","Love and Death","","Compressed Wave Frame","0.72%","∞%"
"grenade-launchers","48","Explosive Personality","","Wave Frame","0.70%","∞%"
"grenade-launchers","49","Memory Interdict","","Adaptive Frame","0.68%","∞%"
"grenade-launchers","50","Empty Vessel","","Lightweight Frame","0.66%","∞%"
"grenade-launchers","51","Forbearance","","Wave Frame","0.65%","∞%"
"grenade-launchers","52","Marsilion-C","","Rapid-Fire Frame","0.64%","∞%"
"grenade-launchers","53","Cataphract GL3","","Adaptive Frame","0.64%","∞%"
"grenade-launchers","54","Cataphract GL3 (Adept)","","Adaptive Frame","0.64%","∞%"
"grenade-launchers","55","Wilderflight","","Double Fire","0.63%","∞%"
"grenade-launchers","56","Wendigo GL3 (Adept)","","Adaptive Frame","0.62%","∞%"
"grenade-launchers","57","Wilderflight","","Double Fire","0.62%","∞%"
"grenade-launchers","58","Forbearance","","Wave Frame","0.61%","∞%"
"grenade-launchers","59","Wicked Sister","","Adaptive Frame","0.59%","∞%"
"grenade-launchers","60","Truthteller","","Lightweight Frame","0.59%","∞%"
"grenade-launchers","61","Lingering Dread","","Lightweight Frame","0.55%","∞%"
"grenade-launchers","62","Deafening Whisper","","Wave Frame","0.55%","∞%"
"grenade-launchers","63","Lingering Dread","","Lightweight Frame","0.55%","∞%"
"grenade-launchers","64","Salvager's Salvo","","Lightweight Frame","0.54%","∞%"
"grenade-launchers","65","Psychopomp","","Area Denial Frame","0.53%","∞%"
"grenade-launchers","66","New Pacific Epitaph","","Wave Frame","0.51%","∞%"
"grenade-launchers","67","Hullabaloo","","Compressed Wave Frame","0.51%","∞%"
"grenade-launchers","68","Interference VI","","Adaptive Frame","0.48%","∞%"
"grenade-launchers","69","Truthteller","","Lightweight Frame","0.48%","∞%"
