Rank,Name,Weapon Type,Archetype,Overall %,Δ 2 Weeks
"80","DIABLERETS 06","Machine Gun","Rapid-Fire Frame","0.23%","∞%"
"81","Out of Bounds","Submachine Gun","Lightweight Frame","0.23%","∞%"
"82","The Martlet","Pulse Rifle","Lightweight Frame","0.23%","∞%"
"83","Eyasluna","Hand Cannon","Adaptive Frame","0.23%","∞%"
"84","Submersion","Combat Bow","High-Impact Frame","0.22%","∞%"
"85","Gunnora's Axe","Shotgun","Pinpoint Slug Frame","0.22%","∞%"
"86","Yeartide Apex","Submachine Gun","Lightweight Frame","0.22%","∞%"
"87","Hezen Vengeance","Rocket Launcher","Aggressive Frame","0.22%","∞%"
"88","Survivor's Epitaph","Hand Cannon","Precision Frame","0.22%","∞%"
"89","Commemoration","Machine Gun","Adaptive Frame","0.22%","∞%"
"90","Hawthorne's Field-Forged Shotgun","Shotgun","Lightweight Frame","0.21%","∞%"
"91","Oxygen SR3","Scout Rifle","Precision Frame","0.21%","∞%"
"92","Unfall","Sidearm","Together Forever","0.21%","∞%"
"93","Half-Truths","Sword","Adaptive Frame","0.21%","∞%"
"94","Hawkmoon","Hand Cannon","Paracausal Shot","0.21%","∞%"
"95","Sorrow's Verse","Auto Rifle","Adaptive Frame","0.21%","∞%"
"96","Outbreak Perfected","Pulse Rifle","The Corruption Spreads","0.21%","∞%"
"97","Giver's Blessing","Auto Rifle","Rapid-Fire Frame","0.21%","∞%"
"98","IRONWOOD 03","Hand Cannon","Spread Shot","0.20%","∞%"
"99","BxR-55 Battler","Pulse Rifle","Legacy PR-55 Frame","0.20%","∞%"
"100","Seventh Seraph SAW","Machine Gun","High-Impact Frame","0.20%","∞%"
"101","Gridskipper","Pulse Rifle","Rapid-Fire Frame","0.20%","∞%"
"102","DEADHORSE 04","Submachine Gun","Adaptive Frame","0.20%","∞%"
"103","Scatter Signal","Fusion Rifle","Rapid-Fire Frame","0.20%","∞%"
"104","Infinite Paths 8","Pulse Rifle","Lightweight Frame","0.20%","∞%"
"105","Lost Signal","Grenade Launcher","Area Denial Frame","0.20%","∞%"
"106","Pro Memoria","Machine Gun","Aggressive Frame","0.20%","∞%"
"107","Null Composure","Fusion Rifle","Rapid-Fire Frame","0.20%","∞%"
"108","Fimbulwinter Stitch","Sidearm","Precision Frame","0.20%","∞%"
"109","Haliaetus","Rocket Launcher","High-Impact Frame","0.19%","∞%"
"110","D.F.A.","Hand Cannon","Adaptive Frame","0.19%","∞%"
"111","Theodolite","Grenade Launcher","Micro-Missile Frame","0.19%","∞%"
"112","Returned Memory","Sidearm","Micro-Missile Frame","0.19%","∞%"
"113","Lionfish-4fr","Fusion Rifle","Rapid-Fire Frame","0.19%","∞%"
"114","Duty Bound","Auto Rifle","Adaptive Frame","0.19%","∞%"
"115","All or Nothing","Pulse Rifle","Dynamic Heat Weapon","0.19%","∞%"
"116","Sarpedon-D","Hand Cannon","Spread Shot","0.19%","∞%"
"117","Chain of Command","Machine Gun","Adaptive Frame","0.19%","∞%"
"118","The Slammer (Adept)","Sword","Vortex Frame","0.18%","∞%"
"119","Seventh Seraph Carbine","Auto Rifle","Precision Frame","0.18%","∞%"
"120","The Keening","Sidearm","Adaptive Frame","0.18%","∞%"
"121","Cataphract GL3","Grenade Launcher","Adaptive Frame","0.18%","∞%"
"122","Osteo Striga","Submachine Gun","Screaming Swarm","0.18%","∞%"
"123","Ahab Char","Auto Rifle","Rapid-Fire Frame","0.18%","∞%"
"124","Permafrost","Grenade Launcher","Wave Frame","0.18%","∞%"
"125","Steelfeather Repeater","Auto Rifle","Rapid-Fire Frame","0.18%","∞%"
"126","Dawn Far Off","Machine Gun","Aggressive Frame","0.18%","∞%"
"127","Adored","Sniper Rifle","Adaptive Frame","0.18%","∞%"
"128","Festival Flight","Grenade Launcher","Area Denial Frame","0.18%","∞%"
"129","Phoneutria Fera","Hand Cannon","Spread Shot","0.17%","∞%"
"130","Rufus's Fury","Auto Rifle","Rapid-Fire Frame","0.17%","∞%"
"131","Keraunios","Trace Rifle","Adaptive Frame","0.17%","∞%"
"132","Bygones","Pulse Rifle","Adaptive Frame","0.17%","∞%"
"133","Triple Laureate","Hand Cannon","Spread Shot","0.17%","∞%"
"134","Monody-44","Fusion Rifle","High-Impact Frame","0.17%","∞%"
"135","Aberrant Action","Sidearm","Micro-Missile Frame","0.17%","∞%"
"136","Psychopomp","Grenade Launcher","Area Denial Frame","0.17%","∞%"
"137","Corundum Hammer","Hand Cannon","Adaptive Frame","0.17%","∞%"
"138","Crux Termination IV","Rocket Launcher","Aggressive Frame","0.17%","∞%"
"139","Frozen Orbit","Sniper Rifle","Aggressive Frame","0.17%","∞%"
"140","Threat Level","Shotgun","Rapid-Fire Frame","0.17%","∞%"
"141","IKELOS_SMG_v1.0.3","Submachine Gun","Aggressive Frame","0.16%","∞%"
"142","Psi Aeterna IV","Pulse Rifle","Micro-Missile Frame","0.16%","∞%"
"143","Refurbished A499","Sniper Rifle","Disruption Weapon [Shield-Piercing]","0.16%","∞%"
"144","Boomslang-4fr","Linear Fusion Rifle","Adaptive Burst","0.16%","∞%"
"145","Qua Vinctus IV","Machine Gun","High-Impact Frame","0.16%","∞%"
"146","Mint Retrograde","Pulse Rifle","Micro-Missile Frame","0.16%","∞%"
"147","Temptation's Hook","Sword","Caster Frame","0.16%","∞%"
"148","The Wizened Rebuke","Fusion Rifle","High-Impact Frame","0.16%","∞%"
"149","Tinasha's Mastery","Sidearm","Micro-Missile Frame","0.16%","∞%"
"150","Igneous Hammer","Hand Cannon","Aggressive Frame","0.16%","∞%"
"151","Edge Transit","Grenade Launcher","Adaptive Frame","0.16%","∞%"
"152","Something Something","Sniper Rifle","Aggressive Frame","0.15%","∞%"
"153","Ulterior Observation","Machine Gun","Aggressive Frame","0.15%","∞%"
"154","Peculiar Charm","Submachine Gun","Aggressive Burst","0.15%","∞%"
"155","Bellowing Giant","Rocket Launcher","Adaptive Frame","0.15%","∞%"
"156","The Beacon","Fusion Rifle","Rapid-Fire Frame","0.15%","∞%"
"157","Snipehunt Mk. 47","Auto Rifle","Lightweight Frame","0.15%","∞%"
"158","The Immortal","Submachine Gun","Aggressive Frame","0.15%","∞%"
"159","No Feelings","Scout Rifle","Precision Frame","0.15%","∞%"
"160","Taipan-4fr","Linear Fusion Rifle","Precision Frame","0.15%","∞%"
"161","Red Tape","Scout Rifle","Lightweight Frame","0.15%","∞%"
"162","Trust","Hand Cannon","Precision Frame","0.15%","∞%"
"163","Alone as a god","Sniper Rifle","Rapid-Fire Frame","0.15%","∞%"
"164","Seventh Seraph VY-7","Submachine Gun","Precision Frame","0.15%","∞%"
"165","Retrofit Escapade","Machine Gun","Rapid-Fire Frame","0.15%","∞%"
"166","TAHOMA 01","Fusion Rifle","Aggressive Frame","0.14%","∞%"
"167","Riptide","Fusion Rifle","Rapid-Fire Frame","0.14%","∞%"
"168","Gunburn","Submachine Gun","Lightweight Frame","0.14%","∞%"
"169","Drang","Sidearm","Together Forever","0.14%","∞%"
"170","Antedate","Submachine Gun","Adaptive Frame","0.14%","∞%"
"171","MIDA Macro-Tool","Shotgun","MIDA Synergy","0.14%","∞%"
"172","Ammit AR2","Auto Rifle","Precision Frame","0.14%","∞%"
"173","Zaouli's Bane","Hand Cannon","Adaptive Frame","0.14%","∞%"
"174","Qua Nilus II","Submachine Gun","Adaptive Frame","0.14%","∞%"
"175","Hammerhead","Machine Gun","Adaptive Frame","0.14%","∞%"
"176","Seventh Seraph Officer Revolver","Hand Cannon","Precision Frame","0.14%","∞%"
"177","Mos Athanor IV","Hand Cannon","Aggressive Frame","0.14%","∞%"
"178","CALUS Mini-Tool","Submachine Gun","MIDA Synergy","0.14%","∞%"
"179","Liturgy","Grenade Launcher","Double Fire","0.14%","∞%"
"180","Matador 64","Shotgun","Precision Frame","0.14%","∞%"
"181","Eyes Unveiled","Linear Fusion Rifle","Precision Frame","0.13%","∞%"
"182","Death Adder","Submachine Gun","Lightweight Frame","0.13%","∞%"
"183","Point of the Stag","Combat Bow","Precision Frame","0.13%","∞%"
"184","Agape","Hand Cannon","Heavy Burst","0.13%","∞%"
"185","ALLEN 05","Sniper Rifle","Adaptive Frame","0.13%","∞%"
"186","The Mountaintop","Grenade Launcher","Micro-Missile Frame","0.13%","∞%"
"187","Cataclysmic","Linear Fusion Rifle","Precision Frame","0.13%","∞%"
"188","Stryker's Sure-Hand","Sword","Aggressive Frame","0.13%","∞%"
"189","Fractethyst","Shotgun","Precision Frame","0.13%","∞%"
"190","Brass Attacks","Sidearm","Heavy Burst","0.13%","∞%"
"191","Falling Guillotine","Sword","Vortex Frame","0.13%","∞%"
"192","Hammerhead","Machine Gun","Adaptive Frame","0.13%","∞%"
"193","Heritage","Shotgun","Pinpoint Slug Frame","0.13%","∞%"
"194","Unsworn","Trace Rifle","Adaptive Frame","0.13%","∞%"
"195","Indebted Kindness","Sidearm","Micro-Missile Frame","0.13%","∞%"
"196","Last Thursday","Pulse Rifle","Adaptive Frame","0.13%","∞%"
"197","Temporal Clause","Machine Gun","Aggressive Frame","0.13%","∞%"
"198","The Summoner","Auto Rifle","Adaptive Frame","0.13%","∞%"
"199","Heliocentric QSc","Sidearm","Lightweight Frame","0.13%","∞%"
"200","Rose","Hand Cannon","Lightweight Frame","0.13%","∞%"
"201","Corrective Measure","Machine Gun","Aggressive Frame","0.13%","∞%"
"202","Palmyra-B","Rocket Launcher","Precision Frame","0.13%","∞%"
"203","Seventh Seraph CQC-12","Shotgun","Lightweight Frame","0.13%","∞%"
"204","Falling Guillotine","Sword","Vortex Frame","0.12%","∞%"
"205","Pressurized Precision","Fusion Rifle","Adaptive Frame","0.12%","∞%"
"206","Solemn Remembrance","Hand Cannon","Precision Frame","0.12%","∞%"
"207","Bane of Sorrow","Machine Gun","High-Impact Frame","0.12%","∞%"
"208","The Ringing Nail","Auto Rifle","Precision Frame","0.12%","∞%"
"209","Ascendancy","Rocket Launcher","Precision Frame","0.12%","∞%"
"210","Occluded Finality","Sniper Rifle","Aggressive Frame","0.12%","∞%"
"211","Veillantif-D","Pulse Rifle","Micro-Missile Frame","0.12%","∞%"
"212","Wastelander M5","Shotgun","Lightweight Frame","0.12%","∞%"
"213","Stars in Shadow","Pulse Rifle","High-Impact Frame","0.12%","∞%"
"214","Terciopelo-4bl","Sword","Lightweight Frame","0.12%","∞%"
"215","Gnawing Hunger","Auto Rifle","Adaptive Frame","0.12%","∞%"
"216","Submission","Submachine Gun","Lightweight Frame","0.12%","∞%"
"217","Everburning Glitz","Auto Rifle","Rapid-Fire Frame","0.12%","∞%"
"218","Dimensional Hypotrochoid","Grenade Launcher","Compressed Wave Frame","0.12%","∞%"
"219","Fortunate Star","Combat Bow","Lightweight Frame","0.12%","∞%"
"220","M-17 ""Fast Talker""","Submachine Gun","Balanced Heat Weapon","0.12%","∞%"
"221","The Recluse","Submachine Gun","Lightweight Frame","0.12%","∞%"
"222","The Supremacy","Sniper Rifle","Rapid-Fire Frame","0.12%","∞%"
"223","Funnelweb","Submachine Gun","Lightweight Frame","0.12%","∞%"
"224","Watchful Eye","Machine Gun","Aggressive Frame","0.12%","∞%"
"225","Marcato-45","Machine Gun","Adaptive Frame","0.11%","∞%"
"226","King Orfeo","Combat Bow","Precision Frame","0.11%","∞%"
"227","Precipial","Shotgun","Precision Frame","0.11%","∞%"
"228","The Heron","Glaive","Aggressive Glaive","0.11%","∞%"
"229","Pluperfect","Auto Rifle","High-Impact Frame","0.11%","∞%"
"230","Slayer's Fang","Shotgun","Nightsworn Sight","0.11%","∞%"
"231","Darkest Before","Pulse Rifle","Rapid-Fire Frame","0.11%","∞%"
"232","VS Velocity Baton","Grenade Launcher","Area Denial Frame","0.11%","∞%"
"233","Fair Judgment","Auto Rifle","Precision Frame","0.11%","∞%"
"234","Ribbontail","Trace Rifle","Adaptive Frame","0.11%","∞%"
"235","Trachinus","Shotgun","Rapid Fire Slug","0.11%","∞%"
"236","Doomsday","Grenade Launcher","Adaptive Frame","0.11%","∞%"
"237","Terminus Horizon","Machine Gun","High-Impact Frame","0.11%","∞%"
"238","The Inquisitor","Shotgun","Pinpoint Slug Frame","0.11%","∞%"
"239","Wolfsbane","Sword","Resurgence Directive","0.11%","∞%"
"240","Nox Sidereal IV","Fusion Rifle","Aggressive Frame","0.11%","∞%"
"241","Aisha's Embrace","Scout Rifle","Rapid-Fire Frame","0.11%","∞%"
"242","Sublimation","Scout Rifle","High-Impact Frame","0.11%","∞%"
"243","Vulpecula","Hand Cannon","Precision Frame","0.11%","∞%"
"244","Rose","Hand Cannon","Lightweight Frame","0.11%","∞%"
"245","Perfect Pitch","Submachine Gun","Precision Frame","0.11%","∞%"
"246","Chrysura Melo","Auto Rifle","Support Frame","0.11%","∞%"
"247","Romantic Death","Grenade Launcher","Wave Frame","0.11%","∞%"
"248","Arcane Embrace","Shotgun","Heavy Burst","0.11%","∞%"
"249","Found Verdict","Shotgun","Aggressive Frame","0.11%","∞%"
"250","Prosecutor","Auto Rifle","Precision Frame","0.11%","∞%"
"251","Faustus Decline","Sidearm","Lightweight Frame","0.11%","∞%"
"252","Jurisprudent","Scout Rifle","High-Impact Frame","0.11%","∞%"
"253","VS Pyroelectric Propellant","Auto Rifle","Adaptive Frame","0.10%","∞%"
"254","Nox Perennial V","Fusion Rifle","High-Impact Frame","0.10%","∞%"
"255","Barrow-Dyad","Submachine Gun","Panic Response","0.10%","∞%"
"256","Last Rite","Scout Rifle","Aggressive Frame","0.10%","∞%"
"257","Uncivil Discourse","Hand Cannon","Dynamic Heat Weapon","0.10%","∞%"
"258","The Enigma","Glaive","Adaptive Glaive","0.10%","∞%"
"259","Tempered Dynamo","Fusion Rifle","Aggressive Frame","0.10%","∞%"
"260","Shayura's Wrath","Submachine Gun","Precision Frame","0.10%","∞%"
"261","Suspectum-4fr","Linear Fusion Rifle","Precision Frame","0.10%","∞%"
"262","The Messenger","Pulse Rifle","High-Impact Frame","0.10%","∞%"
"263","VS Chill Inhibitor","Grenade Launcher","Rapid-Fire Frame","0.10%","∞%"
"264","Pure Recollection","Shotgun","Heavy Burst","0.10%","∞%"
"265","Aureus Neutralizer","Hand Cannon","Spread Shot","0.10%","∞%"
"266","High Albedo","Sidearm","Micro-Missile Frame","0.10%","∞%"
"267","Forbearance","Grenade Launcher","Wave Frame","0.10%","∞%"
"268","Midnight Coup","Hand Cannon","Adaptive Frame","0.10%","∞%"
"269","Someday","Shotgun","Precision Frame","0.10%","∞%"
"270","Ouster Engine","Grenade Launcher","Area Denial Frame","0.10%","∞%"
"271","Scathelocke","Auto Rifle","Adaptive Frame","0.10%","∞%"
"272","Whisper of the Worm","Sniper Rifle","White Nail","0.10%","∞%"
"273","Luna's Howl","Hand Cannon","Precision Frame","0.10%","∞%"
"274","Reckless Oracle","Auto Rifle","Rapid-Fire Frame","0.10%","∞%"
"275","Adjudicator","Submachine Gun","Precision Frame","0.10%","∞%"
"276","Pre Astyanax IV","Combat Bow","Precision Frame","0.10%","∞%"
"277","Crowning Duologue","Rocket Launcher","Precision Frame","0.10%","∞%"
"278","Seventh Seraph SI-2","Sidearm","Lightweight Frame","0.10%","∞%"
"279","Riptide","Fusion Rifle","Rapid-Fire Frame","0.10%","∞%"
"280","VS Velocity Baton","Grenade Launcher","Area Denial Frame","0.10%","∞%"
"281","The Spiteful Fang","Combat Bow","Lightweight Frame","0.10%","∞%"
"282","Ros Arago IV","Auto Rifle","Adaptive Frame","0.10%","∞%"
"283","Doom of Chelchis","Scout Rifle","Precision Frame","0.10%","∞%"
"284","Astral Horizon","Shotgun","Aggressive Frame","0.10%","∞%"
"285","Indebted Kindness","Sidearm","Micro-Missile Frame","0.10%","∞%"
"286","Compass Rose","Shotgun","Precision Frame","0.10%","∞%"
"287","Pyroclastic Flow","Rocket Launcher","Precision Frame","0.10%","∞%"
"288","Refusal of the Call","Glaive","Adaptive Glaive","0.10%","∞%"
"289","Fatebringer","Hand Cannon","Adaptive Frame","0.10%","∞%"
"290","Bug-Out Bag","Submachine Gun","Adaptive Frame","0.10%","∞%"
"291","Folded Root","Rocket Launcher","Aggressive Frame","0.10%","∞%"
"292","Auric Disabler","Auto Rifle","Precision Frame","0.10%","∞%"
"293","Scintillation (Adept)","Linear Fusion Rifle","Adaptive Burst","0.10%","∞%"
"294","Micromort","Rocket Launcher","Precision Frame","0.10%","∞%"
"295","Briar's Contempt","Linear Fusion Rifle","Adaptive Burst","0.10%","∞%"
"296","Succession","Sniper Rifle","Aggressive Frame","0.09%","∞%"
"297","Canis Major","Grenade Launcher","Rapid-Fire Frame","0.09%","∞%"
"298","Tomorrow's Answer","Rocket Launcher","High-Impact Frame","0.09%","∞%"
"299","Mercury-A","Combat Bow","High-Impact Longbow","0.09%","∞%"
"300","Arctic Haze","Auto Rifle","Rapid-Fire Frame","0.09%","∞%"
"301","Chivalric Fire","Sword","Caster Frame","0.09%","∞%"
"302","Unforgiven","Submachine Gun","Aggressive Frame","0.09%","∞%"
"303","Forgiveness","Sidearm","Heavy Burst","0.09%","∞%"
"304","Acasia's Dejection","Trace Rifle","Adaptive Frame","0.09%","∞%"
"305","Ecliptic Distaff","Glaive","Adaptive Glaive","0.09%","∞%"
"306","Psychopomp","Grenade Launcher","Area Denial Frame","0.09%","∞%"
"307","Zaouli's Bane","Hand Cannon","Adaptive Frame","0.09%","∞%"
"308","Epochal Integration","Hand Cannon","Adaptive Frame","0.09%","∞%"
"309","Shoreline Dissident","Sniper Rifle","Rapid-Fire Frame","0.09%","∞%"
"310","Heliocentric QSc","Sidearm","Lightweight Frame","0.09%","∞%"
"311","Retraced Path","Trace Rifle","Adaptive Frame","0.09%","∞%"
"312","Riptide","Fusion Rifle","Rapid-Fire Frame","0.09%","∞%"
"313","Mistral Lift","Linear Fusion Rifle","Adaptive Burst","0.09%","∞%"
"314","Austringer","Hand Cannon","Adaptive Frame","0.09%","∞%"
"315","Adamantite","Auto Rifle","Support Frame","0.09%","∞%"
"316","Tatara Gaze","Sniper Rifle","Aggressive Frame","0.09%","∞%"
"317","Action Item","Trace Rifle","Adaptive Frame","0.09%","∞%"
"318","The Recluse","Submachine Gun","Lightweight Frame","0.09%","∞%"
"319","Prolonged Engagement","Submachine Gun","Lightweight Frame","0.09%","∞%"
"320","Cartesian Coordinate","Fusion Rifle","Rapid-Fire Frame","0.09%","∞%"
"321","Deliverance","Fusion Rifle","Precision Frame","0.09%","∞%"
"322","Elsie's Rifle","Pulse Rifle","High-Impact Frame","0.09%","∞%"
"323","Burden of Guilt","Fusion Rifle","Adaptive Frame","0.09%","∞%"
"324","Hushed Whisper","Combat Bow","Precision Frame","0.09%","∞%"
"325","Song of Ir Yût","Machine Gun","Adaptive Frame","0.09%","∞%"
"326","IKELOS_SG_v1.0.3","Shotgun","Rapid-Fire Frame","0.09%","∞%"
"327","The Mountaintop","Grenade Launcher","Micro-Missile Frame","0.09%","∞%"
"328","Prolonged Engagement","Submachine Gun","Lightweight Frame","0.09%","∞%"
"329","Abyss Defiant","Auto Rifle","High-Impact Frame","0.09%","∞%"
"330","Seraphine Haze","Submachine Gun","Aggressive Frame","0.09%","∞%"
"331","Python","Shotgun","Aggressive Frame","0.09%","∞%"
"332","Doomed Petitioner","Linear Fusion Rifle","Adaptive Burst","0.09%","∞%"
"333","The Summoner","Auto Rifle","Adaptive Frame","0.09%","∞%"
"334","Hullabaloo","Grenade Launcher","Compressed Wave Frame","0.09%","∞%"
"335","Rapid Growth","Sniper Rifle","Rapid-Fire Frame","0.09%","∞%"
"336","Mos Athanor IV","Hand Cannon","Aggressive Frame","0.09%","∞%"
"337","Compact Defender","Sidearm","Dynamic Heat Weapon","0.09%","∞%"
"338","Punching Out","Sidearm","Rapid-Fire Frame","0.09%","∞%"
"339","Vikala SMG4","Submachine Gun","Balanced Heat Weapon","0.09%","∞%"
"340","Qua Furor V","Machine Gun","Aggressive Frame","0.08%","∞%"
"341","Eye of Sol","Sniper Rifle","Adaptive Frame","0.08%","∞%"
"342","Finite Impactor","Hand Cannon","Adaptive Frame","0.08%","∞%"
"343","Falling Guillotine","Sword","Vortex Frame","0.08%","∞%"
"344","Revision Zero","Pulse Rifle","Hunter's Trace","0.08%","∞%"
"345","Age-Old Bond","Auto Rifle","High-Impact Frame","0.08%","∞%"
"346","Unloved","Hand Cannon","Heavy Burst","0.08%","∞%"
"347","Cry Mutiny","Grenade Launcher","Adaptive Frame","0.08%","∞%"
"348","Opaque Hourglass","Combat Bow","High-Impact Frame","0.08%","∞%"
"349","Thermal Erosion","Machine Gun","Rapid-Fire Frame","0.08%","∞%"
"350","Stormchaser","Linear Fusion Rifle","Adaptive Burst","0.08%","∞%"
"351","Relentless","Pulse Rifle","High-Impact Frame","0.08%","∞%"
"352","Praedyth's Revenge","Sniper Rifle","Rapid-Fire Frame","0.08%","∞%"
"353","Nation of Beasts","Hand Cannon","Adaptive Frame","0.08%","∞%"
"354","Midnight Coup","Hand Cannon","Adaptive Frame","0.08%","∞%"
"355","A Sudden Death","Shotgun","Aggressive Frame","0.08%","∞%"
"356","Adamantite","Auto Rifle","Support Frame","0.08%","∞%"
"357","Willful Hamartia","Linear Fusion Rifle","Adaptive Burst","0.08%","∞%"
"358","Martyr's Retribution","Grenade Launcher","Wave Frame","0.08%","∞%"
"359","Crimil's Dagger","Hand Cannon","Aggressive Frame","0.08%","∞%"
"360","Wilderflight","Grenade Launcher","Double Fire","0.08%","∞%"
"361","Something Something","Sniper Rifle","Aggressive Frame","0.08%","∞%"
"362","Hung Jury SR4","Scout Rifle","Precision Frame","0.08%","∞%"
